ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
44279041;1288-441-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1288-441-AG21;Orden de Compra generada por invitación a compra ágil: 1288-224-COT21;"REQ. 21-221 PRAIS REFERENTE TECNICO MARIA JOSE RIVAS CORREO mariajose.rivas@redsalud.gov.cl EL HORARIO DE DESPACHO SERÁ DE LUNES A VIERNES DE 8:30 A 15:00, POR CALLE ROMERO 2432
NOTA AL PROVEEDOR:
SERA OBLIGATORIO QUE EL PROVEEDOR REGISTRE EL ID DE LA O";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2021-07-26;2021-09-15;2021-07-26;2021-07-26;2021-09-15;;1;3,69354838709677;62;247005,92;CLP;247005,92;39437,92;IVA;0;0;207568;2284;61.608.200-0;Servicio de Salud Metropolitano Occidente;7029;SERVICIO SALUD METROPOLITANO OCCIDENTE;Salud;HOSPITALES Y CLINICAS;Santiago;Región Metropolitana de Santiago;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;;19;CL;7;48;;;117565014.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG;MELATONINA 3 MG;180;Comprimido;CLP;40;0;0;0.0;7200;
44455933;3178-3952-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3178-3952-SE21;ADQUISICIÓN DESDE 3178-32-LE20;"
PRODUCTOS DEBEN VENIR CON:
- MÍNIMO DE 18 MESES DE VENCIMIENTO.
- FACTURA, FLETE PAGADO Y PUESTO EN BODEGA DEL HOSPITAL: INDICAR LOTE Y VENCIMIENTO EN GLOSA Y ADJUNTAR CARTA DE CANJE SI CORRESPONDE.

I M P O R T A N T E:
NO SE CURSARÁ EL PAGO DE LA";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-08-25;2021-09-08;2021-09-08;2021-09-30;2021-09-14;;1;4,82222222222222;9;149940;CLP;149940;23940;IVA;0;0;126000;4099;61.102.025-2;HOSPITAL NAVAL ALMIRANTE ADRIAZOLA;111875;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;FFAA;HOSPITALES Y CLINICAS;Talcahuano;Región del Biobío ;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;2204004000;19;CL;7;2;3178-32-LE20;;118060826.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3MG COMPRIMIDOS;MELATONINA 3MG COMPRIMIDOS;4200;Comprimido;CLP;30;0;0;0.0;126000;30 dias contra la recepcion conforme de la factura
44481311;1058095-1954-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058095-1954-AG21;Orden de Compra generada por invitación a compra ágil: 1058095-438-COT21;"COMPRA AGIL. COMPRA EXTRA PACIENTE S.C.E. 309205. DESDE 1058095-438-COT21
I.P.: 220400400102. 
Proveedor debe garantizar el despacho de la totalidad de la OC dentro de los próximos 1 días de enviada la OC.
Enviar facturas originales a casilla de interc";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2021-08-30;2021-09-06;2021-08-30;2021-08-30;2021-09-07;;1;0;0;158836,44;CLP;158836,44;25360,44;IVA;0;0;133476;1058095;61.608.502-6;Fármarcos;7320;COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO;Salud;Servicio Público;Puente Alto;Región Metropolitana de Santiago;CL;668273;76.091.301-4;LABORATORIOS BIOPAS S.A.;1270266;LABORATORIOS BIOPAS S.A.;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA;Las Condes;Región Metropolitana de Santiago;Chile;;19;CL;7;2;;;118128783.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;50-214-800-074-00	MELATONINA 2 MG CMP LIBERACION PROLONGADA;;196;Comprimido;CLP;681;0;0;0.0;133476;30 dias contra la recepcion conforme de la factura
44492241;3980-247-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3980-247-SE21;ORDEN DE COMPRA DESDE 3980-11-LE21;Adquisición medicamentos Farmacia PopularPeumo DESDE 3980-11-LE21;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-08-31;2021-09-01;2021-09-01;2021-09-01;2021-09-01;;1;3,89333333333333;15;1194405,38;CLP;1194405,38;190703,38;IVA;0;0;1003702;4900;69.080.900-1;Salud;118861;I MUNICIPALIDAD DE PEUMO;Municipalidades;;Peumo;Región del Libertador General Bernardo O´Higgins;CL;829754;76.389.383-9;DROGUERIA GLOBAL PHARMA SPA;1426099;DROGUERIA GLOBAL PHARMA SPA;FARMACIA Y PERFUMERIA ;Cerrillos;Región Metropolitana de Santiago;Chile;2152204004;19;CL;7;2;3980-11-LE21;;118159324.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;Melatonina 3 mg x 30 comprimidos;"4242075	EUROFARMA	MELATONINA 3 MG 30 COMPRIMIDOS	MELATONINA	 	30-06-2023	LOTE0609921
VALOR OFERTADO  INCLUYE  FLETE				 
DESPACHO  DENTRO DE 2 DIAS
SE ADJUNTAN  POLITICAS DE CANJE  
";40;Caja;CLP;910;0;0;0.0;36400;30 dias contra la recepcion conforme de la factura
44494170;1171142-1897-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1171142-1897-SE21;MELATONINA 3 MG LICITACION N°1171142-5-LQ21;DIRECCIÓN DESPACHO Ruta 194 kilómetro 0,7 , localidad de Makewe, Padre las Casas, región de la Araucanía. De Lunes a viernes Mañana: 8:15 a 12:30 horas. Tarde: 14:00 a 15:15 horas PROGRAMACIÓN MES CONSIDERACIONES PARA EMITIR FACTURA, EL SISTEMA NO LO RECO;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-09-01;2021-09-01;2021-09-01;2021-11-03;2021-09-01;;1;3,27027027027027;37;174930;CLP;174930;27930;IVA;0;0;147000;1171142;62.000.830-3;HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS;1759990;HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS;Otros;HOSPITAL;Padre Las Casas;Región de la Araucanía ;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;2;1171142-5-LQ21;;118164779.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3MG;MELATONINA 3MG X 30 COMP. EUROMED VCTO 11-2022;3000;Comprimido;CLP;49;0;0;0.0;147000;30 dias contra la recepcion conforme de la factura
44495653;2735-1559-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2735-1559-SE21;Medicamentos Farmacia Comunal, Licitación 2735-50-LR19;"Medicamentos Farmacia Comunal, Licitación 2735-50-LR19

PRESUPUESTOS: Salud     

SEGUN DECRETO DAL N° 735/2019

ITS CLAUDIA MORAGA

DESPACHAR A: 
AVDA. EL RODEO Nº 13.533, LO BARNECHEA.
LUNES A VIERNES 9:0 a 13:00 Horas.
DESPACHOS UNICAMENTE C";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-09-01;2021-09-08;2021-09-08;2021-09-08;2021-09-09;;1;0;0;3592057,84;CLP;3592057,84;573521,84;IVA;0;0;3018536;3724;69.255.200-8;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;100155;I MUNICIPALIDAD LO BARNECHEA;Municipalidades;;Lo Barnechea;Región Metropolitana de Santiago;CL;668273;76.091.301-4;LABORATORIOS BIOPAS S.A.;1270266;LABORATORIOS BIOPAS S.A.;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA;Huechuraba;Región Metropolitana de Santiago;Chile;35/1925;19;CL;12;2;2735-50-LR19;;118169413.0;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urge;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;VIGISOM 2 MG;Vigisom 2 mg, melatonina en comprimidos de liberación prolongada, registro ISP F-17679 -14;160;Caja;CLP;16860;0;0;0.0;2697600;30 dias contra la recepcion conforme de la factura
44498380;1077204-573-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1077204-573-SE21;OC. APS FARMACOS MES DE SEPTIEMBRE 2021;"DROGUERÍA DIRECCIÓN SERVICIO DE SALUD ÑUBLE, COMPRA CENTRALIZADA MES SEPTIEMBRE 2021, SEGÚN CORREO ELECTRÓNICO SOLICITADO POR LA Q.F. GISSELLE SUAZO CON FECHA 01/09/2021, RESOLUCIÓN 579/ DEL 05.02.2021
DESPACHAR ARTURO PRAT 354, CHILLAN.
Requisitos al m";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-09-01;2021-09-06;2021-09-06;2021-09-06;2021-09-06;;1;0;0;1112412;CLP;1112412;177612;IVA;0;0;934800;1077204;61.607.000-2;ADMINISTRACIÓN DE FONDOS;6932;SERVICIO DE SALUD NUBLE;Salud;;Chillán;Región del Ñuble;;677833;76.070.033-9;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;1279538;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| SERV;Pudahuel;Región Metropolitana de Santiago;Chile;COMPRA CENTRALIZADAS APS FARMACOS ;19;;7;48;1058101-2-LR20;;118184048.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;"Melatonina 3 mg CM, CAJA X 30
";"Melatonina 3 mg CM, CAJA X 30
";820;Caja;CLP;1140;0;0;0.0;934800;
44507950;2015-2537-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2015-2537-AG21;MELATONINA 3 MG CAPSULAS;Sr. Proveedor: Se agradece ver documentos adjuntos para la buena emisión de sus DTE y NO FACTURAR antes de aceptar la Orden de Compra, ya que esta será rechazada por Sistema Acepta. Así como tampoco se deberá realizar aproximaciones en los valores factu;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-03;;1;0;0;696150;CLP;696150;111150;IVA;0;0;585000;3010;61.606.917-9;Farmacia Hospital Linares;7258;SERVICIO DE SALUD DEL MAULE HOSPITAL DE LINARES;Salud;HOSPITALES Y CLINICAS;Linares;Región del Maule ;CL;677833;76.070.033-9;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;1279538;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| SERV;Pudahuel;Región Metropolitana de Santiago;Chile;;19;CL;7;48;;;118202745.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG X 30 CAPSULAS;MELATONINA 3 MG X 30 CAPSULAS;15000;Cápsula;CLP;39;0;0;0.0;585000;
44509088;4238-415-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4238-415-SE21;ORDEN DE COMPRA DESDE 4238-33-LE21;"FÁRMACOS E INSUMOS-ÁREA DE FARMACIA CESFAM E. RAMIREZ DESDE 4238-33-LE21
DESPACHAR: CENTRO DE SALUD FAMILIAR ELEUTERIO RAMIREZ, UBICADO EN POBLACIÓN ELEUTERIO RAMÍREZ, PASAJE 4 N° 40- CURANILAHUE
HORARIO. DE LUNES A JUEVES DE 08.00 HRS. A 17:00 HRS.
VI";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-15;;1;3;2;139230;CLP;139230;22230;IVA;0;0;117000;5156;69.160.202-8;DEPARTAMENTO DE SALUD;127036;I MUNICIPALIDAD DE CURANILAHUE;Municipalidades;;Curanilahue;Región del Biobío ;CL;883972;76.537.264-k;Droguería Concepción Ltda;1478801;Droguería Concepción Ltda;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS;Concepción;Región del Biobío ;Chile;215.22.04.004/215.22.04.005;19;CL;12;2;4238-33-LE21;;118205734.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG. COMPRIMIDO;"MELATONINA 3 MG 30 COMP.	 
  VTO  31-05-2023
";3000;Comprimido;CLP;39;0;0;0.0;117000;30 dias contra la recepcion conforme de la factura
44523630;2136-433-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2136-433-AG21;Orden de Compra generada por invitación a compra ágil: 2136-21-COT21;Compra de medicamentos faltantes de Cenabast, que han aumentado su consumo, que el proveedor del Convenio de Suministro no cumple, y por incorporación al Arsenal farmacológico del Hospital y que son necesarios para un atención optima de los pacientes;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2021-09-06;2021-09-06;2021-09-06;2021-09-06;2021-09-06;;1;3,89333333333333;15;105315;CLP;105315;16815;IVA;0;0;88500;3131;61.602.270-9;HOSPITAL DE FRUTILLAR;7104;SERVICIO SALUD DEL RELONCAVI;Salud;medicina;Frutillar;Región de los Lagos ;CL;829754;76.389.383-9;DROGUERIA GLOBAL PHARMA SPA;1426099;DROGUERIA GLOBAL PHARMA SPA;FARMACIA Y PERFUMERIA ;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;2;;;118244909.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;Melatonina 3 mg;;1200;Cápsula;CLP;35;0;0;0.0;42000;30 dias contra la recepcion conforme de la factura
