ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
54145103;5209-45-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5209-45-AG26;ZOPICLONA 7.5 MG;Orden de Compra codigo: 5209-45-AG26 dirigida a 3CC SPA OCI 209809;AG;;;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2026-01-13;2026-02-04;2026-01-13;2026-02-02;2026-02-05;;1;0;0;414120;CLP;414120;66120;IVA;0;0;348000;6122;60.910.000-1;Hospital Clínico Univ. de Chile - Unidad de Medicamentos;7251;UNIVERSIDAD DE CHILE;Gob. Central, Universidades;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS;Independencia;Región Metropolitana de Santiago;Extranjero;1487802;77.035.623-7;3CC;2067601;3CC SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Renca;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;146605468;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"
ZOPICLONA 7.5 MG";ZOPICLONA 7.5 MG;12000;Comprimido;CLP;29;0;0;;348000;30 dias contra la recepcion conforme de la factura
54201391;2069-809-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2069-809-AG26;SAR-CP-022026-PROGRAMA FEBRERO 2026 FARMACOS-AG;"Orden de Compra generada por invitación a compra ágil: 2069-240-COT26
PROGRAMA MEDICAMENTOS FEBRERO 2026
1. Despachar a BODEGA CENTRAL. Traer Orden de Compra IMPRESA y en Estado ACEPTADA
2. HORARIO: ** Lunes a Viernes 8:30 a 13:00 y de 14:30 a 16:00 Hrs. Productos refrigerados hasta las 13:00.**
3. Factura y/o Guía debe incluir lote y vencimiento de productos (vencimientos inferiores a 12 meses deben ser validados previo al despacho con comprador respectivo vía mail)
4. Factura electrónica enviar a: ""dipresrecepcion@custodium.com"" y recepcionfacturaelectronica.cabl@redsalud.gov.cl"" adjuntar OC en estado ""ACEPTADA"" y guía con recepción conforme. Pago proveedores: 25762900 
5. En caso de rechazo del envio se indicará motivo en cedible para contactar posteriormente a unidad de compra
6.  Traer 1 copia de la factura (bodega)
";AG;;;Si;13;AG;Compra Ágil;5;En proceso;2;En proceso;2026-01-22;2026-02-02;2026-02-02;2026-01-22;;;1;0;0;520791,6;CLP;520791,6;83151,6;IVA;0;0;437640;3064;61.608.101-2;HOSPITAL BARROS LUCO TRUDEAU;7293;SERVICIO DE SALUD METROPOLITANO SUR HOSP;Salud;HOSPITALES Y CLINICAS;San Miguel;Región Metropolitana de Santiago;Extranjero;1487802;77.035.623-7;3CC;2067601;3CC SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Renca;Región Metropolitana de Santiago;;3695;19;Extranjero;7;2.0;;;146780352;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"2140126	ZOPICLONA 7,5 MG
";"MIN0215 ZOPICLONA 7.5 MG CJ. X 1000 COMP. REC., Zopiclona 7,5 mg,
F-12586/22, MILAB, VCTO 06-08-2027";4000;Comprimido;CLP;29;0;0;;116000;30 dias contra la recepcion conforme de la factura
54234447;1709-24-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1709-24-AG26;ZOPLICONA 7.5 MG / BODEGA FARMACIA - Orden de Compra generada por invitación a compra ágil: 1709-8-COT26;"ZOPLICONA 7.5 MG / BODEGA FARMACIA - Orden de Compra generada por invitación a compra ágil: 1709-8-COT26. SEGÚN MEMO N°5 POR DON MARCELO NÚÑEZ.

Despachar a la dirección; Victoria 867 (al lado de la compañía de bomberos)
Coordinar con Jovita Pérez; Contacto; 985229617  /  712984335 , con flete pagado.
Horario de atención de lunes a jueves, desde las 08:30 a 12:30 hrs. y de 14:00 a 16:00 hrs.
Horario de atención viernes, desde las 08:30 a 12:30 hrs. y de 14:00 a 13:00 hrs.
";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-01-28;2026-02-04;2026-01-28;2026-02-12;2026-02-05;;1;0;0;1428000;CLP;1428000;228000;IVA;0;0;1200000;2705;69.120.400-6;Salud;7351;I MUNICIPALIDAD DE CAUQUENES;Municipalidades;ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.;Cauquenes;Región del Maule ;Extranjero;1189038;77.354.932-K;BECRUX;1777426;BECRUX LABS SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, DE TOCADOR Y COSMETICOS;Rancagua;Región del Libertador General Bernardo O´Higgins;;215-22-04-004;19;Extranjero;7;2.0;;;146881523;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPLICONA 7.5 MG, COMPRIMIDOS RECUBIERTOS 7.5 MG, SEGÚN MEMO N°5 Y SUS ESPECIFICACIONES TÉCNICAS.-;ZOPLICONA 7.5 MG, COMPRIMIDOS RECUBIERTOS 7.5 MG, SEGÚN MEMO N°5 Y SUS ESPECIFICACIONES TÉCNICAS.-;30000;Comprimido;CLP;40;0;0;;1200000;30 dias contra la recepcion conforme de la factura
54253587;4058-19-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4058-19-AG26;MEDICAMENTOS PARA FARMACIA DEL DSM, Orden de Compra generada por invitación a compra ágil: 4058-23-COT26;"Orden de Compra codigo: 4058-19-AG26 dirigida a SCM PHARMA SPA

Justificación selección de cotización menos económica: se ajusta a solicitud";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-02;2026-02-02;2026-02-02;2026-02-02;2026-02-02;;1;0;0;466539,5;CLP;466539,5;74489,5;IVA;0;0;392050;4978;69.181.100-k;4058-Salud;119994;I MUNICIPALIDAD DE LONQUIMAY;Municipalidades;TRANSMISION DE ENERGIA ELECTRICA| DISTRIBUCION DE ENERGIA ELECTRICA| ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTION| MUNICIPALIDADES;Lonquimay;Región de la Araucanía ;Extranjero;1185307;77.337.544-5;SCM;1773777;SCM PHARMA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Providencia;Región Metropolitana de Santiago;;2152204004;19;Extranjero;7;2.0;;;146940814;85121900.0;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Farmacéuticos;85121902;Farmacias;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Farmacéuticos;"ZOPICLONA 7,5MG X 30 UND.
VENCE 27/07/2028.";;3000;Comprimido;CLP;37;0;0;;111000;30 dias contra la recepcion conforme de la factura
54255614;1057388-44-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057388-44-AG26;MEDICAMENTOS;"Orden de Compra codigo: 1057388-44-AG26 dirigida a SCM PHARMA SPA
Orden de Compra generada por invitación a compra ágil: 1057388-2-COT26
Justificación selección de cotización menos económica: Los productos o servicios cotizados cumplen de mejor manera con los requisitos técnicos solicitados.";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-02;2026-02-02;2026-02-02;2026-02-02;2026-02-02;;1;0;0;2817563;CLP;2817563;449863;IVA;0;0;2367700;1057388;61.602.224-5;Bienes y Servicios;7465;SERVICIO NACIONAL DE SALUD HOSPITAL PUREN;Salud;Servicio Público;Purén;Región de la Araucanía ;Extranjero;1185307;77.337.544-5;SCM;1773777;SCM PHARMA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Providencia;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;146946646;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPLICONA CM 7,5 MG.;;6000;Comprimido;CLP;38;0;0;;228000;30 dias contra la recepcion conforme de la factura
54263779;1224957-49-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1224957-49-AG26;Orden de Compra generada por invitación a compra ágil: 1224957-30-COT26;"Orden de Compra codigo: 1224957-49-AG26 dirigida a SCM PHARMA SPA
CGR 900720260015
ADM. CONTRATO: MIGUEL PAYERAS";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-03;2026-02-03;2026-02-03;2026-02-03;2026-02-03;;1;0;0;227259,06;CLP;227259,06;36285,06;IVA;0;0;190974;1224957;70.932.800-K;CMDS Nivel Central;1812426;CORP MUNICIPAL DE DESARROLLO SOCIAL DE NUNOA;Otros;Adm. Oper. Serv. Educ. Salud, Elab. Prod. Aliment. Sv. Soc., Botica Municipal;Ñuñoa;Región Metropolitana de Santiago;Extranjero;1185307;77.337.544-5;SCM;1773777;SCM PHARMA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Providencia;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;146973765;73101700.0;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;73101701;Servicios de producción de medicamentos o medicinas;Servicios de producción y fabricación industrial;Industrias de plásticos y productos químicos;Producción farmacéutica;Zopiclona 7,5 mg (formato de medicamento puede ser comprimido recubierto, comprimido sublingual, etc);;500;Comprimido;CLP;37;0;0;;18500;30 dias contra la recepcion conforme de la factura
54265969;3391-97-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3391-97-AG26;Orden de Compra generada por invitación a compra ágil: 3391-30-COT26;COMPRA INSUMOS DE FARMACIA /2204004/4312-20-PC26/Entregas días hábil de Lunes a Viernes excepto efectivo desde 8:00 am hasta 16:00 pm en Central de Abastecimiento/Previa condición de aceptada la OC en el portal, condiciones para que ejército de Chile realice el pago. Según Ley de Presupuesto N°21.796 año 2026/ Sr. Proveedor se solicita a UD enviar productos con GUIA DE DESPACHO, FACTURA se solicitara tras recepción conforme con guía de despacho. ;AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-03;2026-02-05;2026-02-03;2026-02-05;2026-02-05;;1;0;0;3386315,17;CLP;3386315,17;540672,17;IVA;0;0;2845643;4312;61.101.086-9;Hospital Militar del Norte - HMN;111870;DIVISION LOGISTICA DEL EJERCITO;FFAA;HOSPITALES Y CLINICAS;Antofagasta;Región de Antofagasta ;Extranjero;1185307;77.337.544-5;SCM;1773777;SCM PHARMA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Providencia;Región Metropolitana de Santiago;;;19;Extranjero;7;48.0;;;146980579;51131800.0;Medicamentos y productos farmacéuticos / Medicamentos hematólicos / Agentes hemostáticos sistémicos y coagulantes;51131805;Etamsilato;Medicamentos y productos farmacéuticos;Medicamentos hematólicos;Agentes hemostáticos sistémicos y coagulantes;"Eszopiclona 3 mg comprimido
";Eszopiclona 3 mg comprimido;600;Unidad;CLP;90;0;0;;54000;
54275401;3754-20-TD26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3754-20-TD26;Orden de Compra generada por Trato Directo ID 3754-11-FTD26;Adquisición de Medicamentos para Farmacia Cesfam Canela ;TD;Adquisiciones inferiores a 30 UTM, que privilegien materias de alto impacto social;Si;No;16;TD;Proveniente de Ficha de Trato Directo;6;Aceptada;4;Aceptada;2026-02-04;2026-02-04;2026-02-04;2026-02-14;2026-02-05;;1;3,69354838709677;62;381811,5;CLP;381811,5;60961,5;IVA;0;0;320850;4674;69.041.300-0;SALUD;84473;I MUNICIPALIDAD DE CANELA;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA;Canela;Región de Coquimbo ;Extranjero;261744;76.830.090-9;Caribean Pharma SpA;256360;FARMACEUTICA CARIBEAN LTDA;"VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COSMETICOS, JABONES Y P| VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| ALMACENES MEDIANOS (VENTA DE ALIMENTOS); SUPERMERCADOS, MINIMARKETS| VENTA AL POR MENOR DE PRODUCTOS MEDICINALES| VENTA AL POR MENOR DE ";María Elena;Región Metropolitana de Santiago;;2152204004;19;Extranjero;7;2.0;;;147004700;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;Zopiclona 7,5 MG/CM /Caja x 1000 CM;;3;Caja;CLP;27000;0;0;;81000;30 dias contra la recepcion conforme de la factura
54277833;1047027-80-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1047027-80-AG26;(JVF) ESZOPICLONA CM 3MG. CA: 1047027-44-COT26 FEBRERO;"PLAN DE COMPRAS FEBRERO 2026
ÍTEM 220400400102

NOTA: AJUSTAR DESPACHO A FACTOR DE EMPAQUE COMPRA ÁGIL YA NO PERMITE MODIFICACIONES.
_______________________________
HORARIO ENTREGA BODEGA
LUNES A JUEVES DE 08:00 A 16:30HRS.
VIERNES DE 08:00 A 15:30HRS.
";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-05;2026-02-06;2026-02-05;2026-02-05;2026-02-06;;1;0;0;63070;CLP;63070;10070;IVA;0;0;53000;1047027;61.606.604-8;FARMACIA MEDICAMENTOS;7485;HOSPITAL DE QUILPUE;Salud;MEDICAMENTOS FARMACIA;Quilpué;Región de Valparaíso ;Extranjero;1487802;77.035.623-7;3CC;2067601;3CC SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Renca;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;147011746;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;[214A652] ESZOPICLONA CM 3MG;;1000;Comprimido;CLP;53;0;0;;53000;30 dias contra la recepcion conforme de la factura
54278754;4488-9-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4488-9-AG26;MEDICAMENTOS;"Orden de Compra codigo: 4488-9-AG26 dirigida a 3CC SPA

Justificación selección de cotización menos económica: Los productos o servicios cotizados cumplen de mejor manera con los requisitos técnicos solicitados.";AG;;;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2026-02-05;2026-02-05;2026-02-05;2026-02-05;2026-02-05;;1;0;0;2659293;CLP;2659293;424593;IVA;0;0;2234700;5404;69.170.800-4;Departamento De Salud;142508;I MUNICIPALIDAD DE NEGRETE;Municipalidades;;Negrete;Región del Biobío ;Extranjero;1487802;77.035.623-7;3CC;2067601;3CC SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Renca;Región Metropolitana de Santiago;;2152204004-010301;19;Extranjero;21;2.0;;;147014538;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;Zopiclona 7.5 MG;;12000;Comprimido;CLP;29;0;0;;348000;30 dias contra la recepcion conforme de la factura
54278914;1047027-87-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1047027-87-AG26;(JVF) ZOPICLONA CM 7.5MG. CA: 1047027-55-COT26 FEBRERO;"PLAN DE COMPRAS FEBRERO 2026
ÍTEM 220400400102
______________________
HORARIO ENTREGA BODEGA
LUNES A JUEVES DE 08:00 A 16:30HRS.
VIERNES DE 08:00 A 15:30HRS.
";AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-05;2026-02-23;2026-02-05;2026-02-05;2026-02-23;;1;0;0;119000;CLP;119000;19000;IVA;0;0;1e+05;1047027;61.606.604-8;FARMACIA MEDICAMENTOS;7485;HOSPITAL DE QUILPUE;Salud;MEDICAMENTOS FARMACIA;Quilpué;Región de Valparaíso ;Extranjero;1420753;77.988.864-9;PHARMACOR SPA;2002789;PHARMACOR SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Pudahuel;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;147015011;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"
[214B001] ZOPICLONA CM 7.5MG";;4000;Comprimido;CLP;25;0;0;;1e+05;30 dias contra la recepcion conforme de la factura
54280775;3343-25-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3343-25-AG26;ADQUISICIÓN DE ZOPICLONA 7.5MG compra ágil: 3343-22-COT26;ADQUISICIÓN DE MEDICAMENTO DE PRINCIPIO ACTIVO ZOPLICONA 7.5 MG FORMATO 30 CAPSULAS Orden de Compra codigo: 3343-25-AG26 dirigida a INFAR SPA;AG;;;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-05;2026-02-09;2026-02-09;2026-02-09;2026-02-10;;1;0;0;262395;CLP;262395;41895;IVA;0;0;220500;4264;69.061.200-3;Departamento de Salud;114724;I MUNICIPALIDAD DE OLMUE;Municipalidades;OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| MUNICIPALIDADES| OTRAS ACTIVIDADES EMPRESARIALES RELACIONADAS CON LA SALUD HUMANA;Olmué;Región de Valparaíso ;Extranjero;1257387;76.262.422-2;INFAR;1843429;INFAR SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Pudahuel;Región Metropolitana de Santiago;;215.22.04.014;19;Extranjero;7;2.0;;;147020857;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;MEDICAMENTO INDUCTOR DEL SUEÑO DE PRINCIPIO ACTIVO ZOPICLONA 7,5MG FORMATO DE 30 CAPSULAS ;;350;Caja;CLP;630;0;0;;220500;30 dias contra la recepcion conforme de la factura
54283617;1218395-6-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1218395-6-SE26;Eszopiclona y Trazodona para farmacia CEV - Desde ;"Eszopiclona y Trazodona para farmacia CEV - Desde licitación 1058133-11-LR24

Enviar a Donald Canter 3500, Valdivia
Desde licitación 1058133-11-LR24
 SUMINISTRO FÁRMACOS COMPRIMIDOS CAPSULAS Y OTROS";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-05;2026-02-05;2026-02-05;2026-02-09;2026-02-09;;1;4,40377358490566;53;511462;CLP;511462;81662;IVA;0;0;429800;1218395;53.335.808-K;FARMACOS;1802401;CONSULTORIO EXTERNO VALDIVIA;Otros;SALUD;Valdivia;Región de Los Ríos;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Maipú;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;;;147029974;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;Eszopiclona 3 Mg;"Eszopiclona 3 Mg

Desde licitación 1058133-11-LR24";600;Comprimido;CLP;83;0;0;0.0;49800;30 dias contra la recepcion conforme de la factura
54283818;1058023-3-SE26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058023-3-SE26;LIC - ADQ. FÁRMACOS CC DEMENCIA / BDSS222450 / ÍTEM 22.04.004.001.02 / REQ. 10 / (IBA);"ADQ DE FÁRMACOS Y DISPOSITIVOS MÉDICOS PARA EL SSB DESDE 1058023-11-LE25

SE SOLICITA:
1. Aceptar la Orden de Compra en el portal www.mercadopublico.cl
2. Se adjunta a la OC el procedimiento de emisión y recepción de facturas.
3. Dichos productos deberán ser entregados en bodega, ubicada en Avenida Las Industrias N°10445, módulo A9, Bodecenter, Los Ángeles.
Horario de Lunes a Jueves de 08:00 a 17:00 horas y viernes de 08:00 a 16:00hrs.
4. Bodega Central: Teléfono (+56 43) 2333480 /2333481
NO OLVIDAR COMPLETAR CASILLA 801 Y ENVIAR FACTURA A CORREO dipresrecepcion@custodium.com. Se adjunta a la OC el procedimiento de emisión y recepción de facturas.
Referente Técnico: Sra. Marisol León";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2026-02-05;2026-02-10;2026-02-10;2026-02-10;2026-02-10;;1;3,69354838709677;62;3119953,9;CLP;3119953,9;498143,9;IVA;0;0;2621810;1058023;61.607.300-1;Fármarcos;7308;SERVICIO DE SALUD BIO BIO;Salud;Servicio Público;Los Angeles;Región del Biobío ;CL;261744;76.830.090-9;Caribean Pharma SpA;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;1058023-11-LE25;;147030493;51141600.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Antidepresivos;51141619;Clorhidrato de sertralina;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Antidepresivos;"ESZOPICLONA 3 MG. (SEV0136 ESZOPICLONA (B) 3 MG X 30 COMP. REC. (MP), Eszopiclona 3 mg, F-22496/21, SEVEN PHARMA)
Vencimiento: 31-07-2027";"ESZOPICLONA 3 MG. (SEV0136 ESZOPICLONA (B) 3 MG X 30 COMP. REC. (MP), Eszopiclona 3 mg, F-22496/21, SEVEN PHARMA)
Vencimiento: 31-07-2027";270;Unidad;CLP;53;0;0;0.0;14310;30 dias contra la recepcion conforme de la factura
